RECID,FIRSTNAME,LASTNAME,ADDRESS,CITY,STATE,ZIP,SSN,IDTRUTH
A939757,LYNDA,ANDERSON,1111 NIKKI LN,STAFFORD 77M477,TEXAS,,11106327,59
A931094,L,ANDERSON,1111 NIKKI LNB,STAFFORD,TEXPAS,77477,11106327,59
A920607,LYNDA,ANDERSON,5137 JM BROWNING STRET,EL PASO,TEXAS,79938,11106327,59
A915059,LYNDA,PIERRE-CANEL,413 SUNSET HILLS DR,EL PASO,TEXAS,79928,11106327,59
A908621,LYNDA,ANDERSON,22 MAPLE BRANCH STIR,SPRING,TEXAS,77380,11106327,59
A990426,DAVID,PIERRE-CANEL,576 ORTEGA TRT,SAN FRANCISCO,CALIFORNIA,94122,11117262,60
A970293,R,PIERRE-CANEL,576 ORTEGA ST,SAN FRANCISCO,CALIFORNIA,94122,11117262,60
A969700,DAVY,PIERRE-CANEL,303 N PROSPERO DR,COVINAC,CALIFORNIA,91723,11117262,60
A950600,DAVY,PIERRE-CANEL,2312 OSETTI CT,MODESTO,CALIFORNIA,95355,11117262,60
A940795,DAVDI,PIERRE-CANEL,Q2 FLAGSTONE,IRVINE,CALI 92Y606,,101117262,60
A991825,VERNA,DELINOIS,3708 BECONTREE PL,OVIEDO,FLORIDA,32765,,61
A984649,LAVERNE,DELINOIS,1439 SARA CT,ALLEN,TEXAS,75002,11122772,61
A978855,LAVERNE,DELINOIS,87 SO VESPER BEND CIR,THE WOODLANDS,TEXAS,77382,11122772,61
A958095,LAVERNE,DELAY,3708 BECONTREE PL,OVIEDO,FLORIDA,32765,,61
A955358,L,VERNA,3708 BECONTREE PL,OIEDO,FLORIDA,32765,11122772,61
A946583,L,DELINOIS,1439 SGARA CT,ALLEN,TEXAS,75002,101122772,61
A929081,LAVERNE,DELINOIS,1439 SARA CT,ALLEN,TEXAS,75002,11122772,61
A913655,LAVERNE,DELINOIS,31 E,BROWNSBORO,TEXAS,75756,11122772,61
A953598,JAMES,DELAY,11309 SAGER AVE,FONTANA,CALIFORNIA,92337,11126708,62
A947606,JAMES,DELAY,10915 N BLVD,TAMPA,FLORIDA,33612,11126708,62
A939374,JAMES,DELAY,50 CHRISTEN AVE,DALY CITY,CALI,94015,11126708,62
A931299,L,DEALY,3708 BECONTREE PL,OVIEDO,FLORIDA,32765,11126708,62
A932391,ROSA,HAMES,7236 GREENHAVEN DR,SACRAMENTO,CALIFORNIA,95831,11129837,63
A989439,JOSE,DHALA,11624 JOLLYVILLGE RD,AUSTIN,TEXAS,78759,11138795,64
A937048,JOSE,DHALA,880 ARROW DR,COPPERAS COVE,TEXAS,76522,11138795,64
A919900,JOSE,DHALA,8854 HOOPER AVE,LOS ANGELES,CALIFORNIA,90002,11138759,64
A996979,K,ENNIS,6X808 N HALF MOON DR,BAKERSFIELD,CALIFORNIA,93309,11155004,65
A993844,KENDRA,LONS,8570 LAKE KNOLL AVE,GARDEN GROVE,CALIFORNIA,92844,11155004,65
A987792,KENDRA,ENNIS,6808 N HALF MOON DR,BAKWERSFIELD,CALIFORNIA,93309,11155040,65
A973396,E,KENDRA,6808 N HALF MOON DR,BAKERSFIELD,CALIFORNIA,93309,11155004,65
A958774,KENDRA,ENNIS,8570 LAKE KNOLL AVE, UNIT E,GARDEN GROVE,CALIFORNIA,92844,65
A929849,DAIRL,LYONS,15742 WILLIAMS ST,TUSTIN,CALI,92780,11211476,66
A909337,DAIRL,LYONS,8570 LAKE KNOLL AVE,GARDEN GROVE,CALIFORNIA,92844,11211476,66
A906495,DAIRL,LYONS,8570 LAKE KNOLL AVE, UNIT E,GARDEN GROVE,CALIFORNIA,92844,66
A998461,TAJUANNA,TOMBERLIN,8455 NW 60TH PLU,PARKLAND,FLORIDA,33067,11212459,67
A961746,TAJUANNA,TOMBERLIN,8090 NW 20TH CT,SUNRISE,FLORIDA,33322,11212495,67
A956403,TAJUANNA,TOMBERLIN,8455 NW 60TH PL,PARKLAND,FLORIDA,33067,11122495,67
A943911,S,OTMBERLIN,8455 NW 60TH PL,PARKLAND,FLORIDA,33067,11212495,67
A997937,RAFAEL,TALLMAMN,43L66 CASTANOS ST,FREMONT,CALIFORNIA,94536,11222687,68
A992269,RAFAEL,TALLMAN,4366 CASTANOS ST,FREMONT,CALIFORNIA,94536,,68
A965683,RAFAEL,TALLMAN,239 N MAGNOLIA AVE,FARMERSVILLE,CALIFORNIA,93223,11222678,68
A947060,RAFAEL,TALLMAN,4366 CASTANOS ST,FREMONT,CALIFORNIA,9456,11222678,68
A944636,RAFAEL,TALLMAN,239 N MAGNOLIA AVE,FAQRMERSVILLE,CALIFORNIA,93223,101222678,68
A984366,BARBARA,BRAKER,10635 PARKLETT ST,TEMPLE CITY,CALIFORNIA,91780,11229531,69
A974134,BARBAAR,BARKER,27602 BLUE TOPAZ DR,SUN CITY,CALIFORNIA,92585,12129531,69
A942110,BABS,CAMPOS,243 RIDGEVIEW AVE,LOS ANGMELES,CALIFORNIA,90041,11229531,69
A941987,BARBARA,CAMPOS,27602 BLUE TOPAZ DR,SUN CITY,CALIFONIA,92585,11229531,69
A935555,BARBARA,BARKER,2403 RIDGEVIEW AVE,LOS ANGELES,CALIFORNIA,90041,11229531,69
A925391,BARBARA,CAMPOS,2403 RIDGEVIEW AVE,LOS ANGELES,CALIFORNIA,90041,11229531,69
A910405,BARBERY,BARKER,27602 BLUXE TOPAZ DR,SUN CITY,CALIFORNIA,92585,11229513,69
A994647,JUSTIN,BAREKR,10200 NW 22,MIAMI,FLORIDA,33147,11231666,70
A986439,JUSTIN,BARKER,27602 BLUE TOPAZ DR,SUN CITY,CALI,92585,,70
A981694,JUSTIN,BARKER,2403 RIDGEVIEW AVE,LOS ANGELES,CALIFORNIA,90041,11231666,70
A981315,JUSTIN,BARKER,10200 NW 22ND AVE,MIAMI,FLORIDA,33147,,70
A956107,A,JUSTIN,27602 BLUE TOPAZ DR,SUN CITY,CALIFORNIA,9258,11231666,70
A952463,JUSTUS,BARKER,10200 NW 22ND AVE,MIAMI,FLORIDA,33147,11231666,70
A938623,JUSTIN,BARKER,AVE,LOS ANGJELES,CALIFORNIA,90041,,70
A919234,JUSTNI,BARKER,27602 BLUE TOPAZ DR,SUN CITY,RCALIF,92585,11236166,70
A907020,JUSTIN,BARKER,10635 SPARKLETT ST,TEMPLE CITY,CALIFORNIA,91780,11236166,70
A976366,Y,KIMEI,4875 ESTEPOMA WAY,BUENA PARK,CALIFORNIA,90621,11239714,71
A957842,FELICITA,KIMEI,8721 GREENBACK LN,ORANGEVALE,CALIFORNIA,95662,,71
A937046,FELICITA,KIMEI,8721 GREENBACK LN,ORLANGEVALE,CALIFORNIA,95662,11239714,71
A976444,STEVEN,BIZHKO,4541 MOHICAN TRL,VALRICO,FLORIDA,33594,,72
A925162,STEEVN,BIZHKO,3924 KANSAS RD,GURDON,ARKANSAS,71743,11257092,72
A906259,STEVEN,BIZHKO,394 KANSAS RD,GURDON,ARKANSAS,7743,11257029,72
A976473,ORISTLEA,BEDOLLA,7319 HAZELTINE AVE,VAN NUYS,CALIFORNIA,91405,11275359,73
A958362,ORISTELA,BEDOLLA,854 NORTON AVE,GLENDLE,CALIFORNIA,91202,11275359,73
A951949,D,ORISTELA,7319 HAZELTINE AVE,VAN NUYS,CALIFORNIA,91405,11275359,73
A945638,ORISTELA,BEDOLLA,7319 HAZELTINE AVE,VAN NUYS,CALIFORNIA,91405,11275359,73
A932616,ORISTELA,BEDOLLA,904 E RENWICK ROD,GLENDORA,CALIFORNIA,91740,11275359,73
A931434,D,BEDOLLA,3227 MALTURA AVE,LA CRESCENTA,CALIFORNIA,91214,11725359,73
A997440,C,JACOBS,22 JUNIPR DR,ORMOND BEACH,FLORIDA,32176,11295734,74
A973975,BRIANA,JACOBS,7500 SW 59TH AVE,SOUTH MTIAMI,FLORIDA,33143,,74
A951850,BRIANA,JACOBS,22 JBUNIPER DR,ORMOND BEACH,FLORIDA,32176,,74
A930615,BRIANA,AJCOBS,22 JUNIPER DR,ORMOND BEACH,FLORIDA,32176,11295734,74
A918686,BRIANA,JACOBS,7500 SW 5M9TH AVE,SOUTH MIAMI,FLORIDA,33143,11295734,74
A978918,,GONZALES,11268 JOSHUA LCT,FONTANA,CALI,92337,,75
A932899,TIMOTHY,GONZALES,5914 PEBBLE CREEK DR,ROCKLIN,CALIFORNIA,95765,,75
A929646,TIMOTHY,GNOZALES,11268 JOSHUA,FONTANA,CALIFORNIA,92337,11333318,75
A924955,TIM,GONZALES,11268 JOSHUA CT,FONTANA,CALIFORNIA,92337,13133138,75
A995622,PATRICK,WOOLDRIDGE,1837 SOUTHPARK DR,ARLINGTON,TEXAS,76013,11346256,77
A951459,PATRICK,WOOLDRIDGE,19315 MONTCLAIR MEADOW LANE,KATY,TEXAS,77449,11346256,77
A948486,PETRE,WOOLDRIDGE,1837 SOUTHPARK DR,ARLINGTON,TEXAS,76013,,77
A940086,PETER,WOOLDRIDGE,3417 N MIDLAND DR,MIDLAND,TEXAS,79707,11346256,77
A938154,PETER,WOOLDRIDGE,3417 N MIDLAND DR,MIDLAND,TEXAS,79707,11436256,77
A927883,EPTER,WOOLDRIDGE,1837O SOUTHPARK DR,ARLINGTON,TEXAS,76013,,77
A923484,PATRICK,WOOLDRIDUGE,3417 N MIDLAND DR,MIDLAND,TEXAS,79707,11346256,77
A996490,BESSIE,MARTINEZ,1460 NW 58TH,MIAMI,FLORIDA,33142,11354171,78
A992116,ELIZABETH,ANVARRETE,7367 MANDY DR,SACRAMENTO F95823,CALIFORNIA,,11354117,78
A990616,BESSIE,MARTINEZ,1460 NW 58TH ST,MIAMI,FLORIDA,3342,11354711,78
A982629,ELIZABETH,MARTINEZ,15668 SUMMIT PLACE CIRCL,NAPLES,FLORIDA,34119,11345171,78
A961534,BESSIE,MARTINEZ,7367 MANDY DR,SACRAMENTO,CALIFORNIA,95823,11351471,78
A936248,BESSIE,MARTINEZ,12672 LIMONITE AVE,COWRONA,CALIFORNIA,92880,101354171,78
A935124,BESSIE,MARTINEZ,24477 DEL AMO RD,RAMONA,CALIFORNIA,92065,11354171,78
A923855,BESSIE,MARTINEZ,7367 MANDY DR,SACRAMENTO,CALIFORNIA,95823,11354171,78
A974776,R,NAVARRETE,7A367 MANDY DR,SACRAMENTO,CALIFORNIA,95823,,79
A931219,RUBEN,NAVARRETE,7367 MANDYH DR,SACRAMENTO,CALIFORNIA,95823,11356980,79
A993900,C,HOYOS,E 16 TPH ST,HIALEAH,FLORIDA,33010,11363009,80
A991848,CAROLINE,HOYIOS,1438 FLATWOOD CT,TRINITY,FLORIDA,34655,,80
A940135,CAROL,HOYOS,1438 FLATTWOOD CT,TRINITY,FLORIDA,34655,11363009,80
A988065,FREDY,GREGORY,22372 WALLINGFORD LN,HUNTINGTON BEACH,CALIFORNIA,92646,11366037,81
A987341,FREDY,GREGORY,22372 WALLINGFORD LN,HUNTINGTON BEACH,CALIFORNIA,92646,11360637,81
A946539,FREDY,GREGORY,1502 VAN VLECK ST,YUBA CITY,CALI,95993,11366307,81
A944749,FREDY,G,1502 VAN VLECK ST,YUBA CITY,CALIFORNIA,95993,11366073,81
A942309,FREDY,GREGORY,22372 WALLINGFORD LN,HUNTINGTON BEACH,CALIFORNIA,92646,11366037,81
A907946,FREDY,GREGORY,1502 VAN VLECK ST,YUBA CITY,ALIFORNIA,95993,11366037,81
A997035,LIDIA,HINDS,1350 MANOR BLVD,SAN LEARNDRO,CALIFORNIA,94579,11372844,82
A986496,L,HINDS,3725 DIMAGGIO WKY,ANTIOCH,CALIFORNIA,94509,11372844,82
A976543,LIDIA,HINDS,2116 WINGATE BND,WELOLINGTON,FLORIDA,33414,11372844,82
A954092,LIDIA,STEAWRT,1350 MANOR BLVD,SAN LEANDRO,CALIFORNIA,94579,,82
A952480,LIDIA,HNIDS,1385Z4 BAYBERRY ST,VICTORVILLE,CALIFORNIA,92392,13172844,82
A946527,LIDIA,HINDS,1350 MANOR BLVD,SAN LEANDRO,CALIFORNIA,94579,11372844,82
A939198,LIDIA,HINDS,5155 WISTERIA LN,FONTANA,CALIFORNIA,92336,,82
A927134,LIDIA,HINDS,3725 DIMAGGIO WAY,ANTIOCH,CALIFORNIA,94509,11372844,82
A921842,L,HINDS,2116 WINGATYE BEND,WELLINGTON,FLORIDA,33414,11372844,82
A916984,LIDIA,HINDS,41800 CREST DR,HEMET,CALIFORNIA,92544,,82
A910614,LIDIA,HINDS,3725 DIMGGIO WAY,ANTIOCH,CALIFORNIA,94509,,82
A993180,JOSE,STEWART,1350 MANOR BLVD,SAN LEANDRO,CALI,94579,,83
A950809,JOSE,S,29605 SOLANA WAY,TEMECULA,CALIFORNIA,92591,11380376,83
A947789,JOES,STEWART,1350 MANOR BLVD,SAN LEANDRO,CALIFORNIA,94579,,83
A927724,JOSE,STEWART,5155 WISTERIA LN,FONTANA,CALIFORNIA,92336,,83
A924558,JOSE,STEWART,29605 SOLANA WY,TEMECULA,CALIFORNIA,92591,11380376,83
A909495,JOSE,STEWART,29605 SOLANA WAY,TEMECULA,CALIFORNIA,92591,11380376,83
A975825,SHIRLEY,ABISADA,16057 TAMPA PALMS BOULEVAD W,TAMPA,FLORIDA,33647,11394038,84
A974698,SHIRLEY,ABISADA,125 SW 34TH AVE,MIAMI,FLORIDA,33135,11394038,84
A974652,S,ABISADA,13828 TM O SHANTER CT,POWAY,CALIFORNIA,92064,11394038,84
A966766,SHIRLEY,B,13828 TAM KO SHANTER CT,POWAY 92064R,CALIFORNIA,,,84
A921355,SHIRLEY,ABISADA,13828 TAM O SHANTER CT,POWAY,CALIFORNIA,92064,11394038,84
A912342,SHIRLEY,ABISADA,403 FRANSCIONI ST,SOLEDAD,CALI,93960,,84
A998273,JEFFREY,BAUM,3445 ADVANTAGE LAE,JACKSONVILLE,FLORIDA,32277,,85
A989546,JEFFRYE,BAUM,13828 TAMD O SHANTER CT,POWAY,CALIFORNIA,92064,11409359,85
A987761,JEFFREY,BAUM,193 EISENHOWER DR,SANTA CLARA,ACALI,95054,11409359,85
A943249,JEFFRYE,BAUM,13828 TAM O,POWAY,CALIFORNIA,92064,,85
A942174,GEOFFREY,BUAM,3445 ADVANTAGE LN,JACKSONVILLE,FLORIDA,32277,11409359,85
A933422,JEFFREY,BAUM,13828 TAM O SHAKNTER CT,POWAY,CALIFORNIA,92064,11409359,85
A922296,GEOFFREY,BAUM,8121 RIVERSIDE DR NE,SAINT PETERSBURG,FLORJIDA,33702,,85
A910166,JEFFREY,ABUM,1932 EISENHOWER DR,SANTA CLARA,CALIFORNIA,95054,11403959,85
A988248,FRAN,WILSON,13117 SETTLERS TRL,KELLER,TX76248,,,86
A975356,FRANCES,WILSON,18522 WOLF CREEK TRL,HUMBLE,TEXAS,77346,11424527,86
A961459,FRANCES,HYDE,13117 SETTLES TRLS,KELLER B76248,TEXAS,,11424572,86
A957160,FRANCES,WILSON,810D4 CORONADO TRL,AMARILLO,TEXAS,79110,11424572,86
A944153,,WILSON,18522 WOLF CREEK TRLS,HUMBLE,TEXAS,77346,11424572,86
A937623,FRANCES,WILSON,6372 NW 173RD ST,HIALEAH,FLORIDA,33015,11424572,86
A926009,FRANCES,HYDE,18522 WOLF CREEK TRLS,HUMBLE,TEXAS,77346,11424572,86
A909505,FRANCES,HYDE,13117 SETTLERS TRL,KELLER,TEXAS,7628,11424527,86
A906536,F,WILSON,6372 NW 173RD ST,HIALEH,FLORIDA,33015,11424572,86
A976049,JAIME,VON HYDE,13117 SETTLERS TRL,KELLER 7Z6248,TEXAS,,11431971,87
A975098,JAIME,VON YHDE,18522 WOLF CREEK,HUMBLE,TEXAS,77346,11431971,87
A955129,JAMIE,VON HYDE,8104 COONADO TRL,AMARILLO,TEXAS,79110,11431971,87
A944994,J,VON HYDE,1348 CABRILLO AVE,SAN JOSE,CALIFORNIA,95132,11431971,87
A921612,J,VON HYDE,13117 SETTLERS TRAILS,KELLER 76248R,TEXAS,,11431971,87
A906951,JAIEM,VON HYDE,13117 SETTLERS TRL,KEZLLER,TEXAS,76248,,87
A988541,ERIKA,VILLAGRAN,3905 CASTLE DDR,ROWLETT 7508I9,TEXAS,,,88
A976233,ERIKA,CARCAMO,3905 CASTLE DR,ROWLETT,TEXAS,75089,11451029,88
A976124,ERIKA,VILLAGRAN,7651 GATE PARKWAY,JACKSBONVILLE,FLORIDA,32256,11451029,88
A937185,I,CARCAMFO,3905 CASTLE DR,RWLETT,TEXAS,75089,11451029,88
A937180,ERIKA,VILLAGRAN,4100 TRADEWIND CT,EL PASO,TEXAS,79904,,88
A923001,E,VILLAGRAN,4100 TRADEWIND CT,EL PASO 79Z904,TEXAS,,,88
A997296,SANTIAGO,CARCAMO,3905 CASTLE DAR,ROWLETT,TEXAS,75089,,89
A978693,SANTIAGO,CARCAMO,1930 HOLLY PL,SOUTH DAYTONA,FLORIDA,32119,11455987,89
A923962,SANTIAGO,CARCAMO,390H5 CASTLE DR,ROWLETT 75089C,TEXAS,,11455987,89
A918527,SANTIAGO,CARCAMO,3905 CASTLE DR,ROWLETT,TEXAS,75089,11455987,89
A992788,SHARON,HALL,3941 S VAN NESS AVE,LOS ANGELES,CALIFORNIA,90062,11470868,90
A965456,SHARON,HALL,18310 AMIE AVE,TORRANCE,CALIFORNIA,90504,101470688,90
A960290,SHARON,HALL,1121A LAWSON LN,AUSTIN,TEXAS,7702,11470688,90
A950614,SHARON,HALL,12224 IANE CHANTEE DR,EL PASO,TEXAS,79936,11470688,90
A941047,SHRAON,KELLER,1121A LAWSON LN,AUSTIN,TEXAS,78702,,90
A931490,SHARON,HALL,1612 TULANE DR,MODESTO,CALIFORNIA,95355,11470688,90
A911884,SHARON,HALL,20401 SOFLEDAD CANYON RD,CANYON COUNTY,CALIFORNIA,91351,101470688,90
A908720,SHAY,HALL,1121A LAWSON,AUSTIN,TEXAS,78702,11476088,90
A978062,JEFFREY,KELLER,8060 FOUNTAIN MIST BLVD,LEHIGH ACRES,FLORIDA,33972,,91
A975376,JEFFREY,KELLER,554 79TH TER N,SAINT PETERSBURG F,,33702,,91
A965768,JEFFREY,KELLER,12224 RIANE CHANTEE DR,EL PASO,TEXAS,79936,11485431,91
A963287,JEFFREY,KELLER,5844 NW 120TH AVE,CORAL SPRINGS,FLORIDA,33076,,91
A955385,JFEFREY,KELLER,127 APPIAN WY,KISSIMMEE,FLORIDA,34758,,91
A950470,EJFFREY,KELLRE,127 APPIAN WAY,KISSIMMEE,FLORIDA,34758,11485431,91
A943291,JEFFREY,KELLR,W8060 FOUNTAIN MIST BLVD,LEHIGH ACRES,FLORIDA,33972,11485431,91
A928908,JEFFREY,KELLER,127 APPIAN WAY,KISSIMMEE,FLORIDA,34758,,91
A978696,IRENE,MEJIA,3842PARKSIDE,MISOURI CITY,TEXAS,77459,11487348,92
A968634,RENNIE,MEJIA,2130 SE GRAND YDR,PORT SAINT LUCIE,FLORIDA,34952,11487348,92
A945840,IRENE,MEJAI,3842 PARKKSIDE,MISSOURI CITY,TEXAS,77459,,92
A994704,MARIA,SOSA,3505 CORALWOOD WY,SACRAMENTO,CA95826,,,94
A991249,MARIA,SOSA,2730 SW 74TH WAY,DAVIE,FLORIDA,33314,11504406,94
A973984,MARIAH,SOSA,2730 SW 74TH WY,DAVIE,FLORIDA,33314,11504406,94
A969991,,SOS,2730 SW 74TH WAY,DAVIE,FLORIDA,33314,11504406,94
A968625,MARIA,SOSA,8367 S ELM AVE,FRESNO,CALIFORNIA,93706,11504406,94
A961432,M,SOSA,3505 CORALWOOD WMAY,SACRAMENTO,CALIFORNIA,95826,11504406,94
A949686,MARIAH,SOSA,1401 W HYDE PARK DR,FORT MYERS 339J12,FLORIDA,,11504406,94
A920927,MARIA,SOSA,1637 SHIRLEY DR,PLEASANT HILL,CALIFORNIA,94523,11504406,94
A978155,PEDRO,RAMOS,2201 5TH ST,SANTA MONDICA,CALIFORNIA,90405,11510375,95
A948176,PEDRO,RAMOS,4185 ARIZONA ST,SAN DIPEGO,CALIFORNIA,92104,11510375,95
A936537,PEDRO,RAMOS,2201 5TH ST,SANTA MONICA,CALIFORNIA,90405,11510375,95
A927955,EPDRO,RAMOS,1637 SHIRLEY DR,PLEASANT HILL,CALIFORNIA,94523,,95
A925054,PEDRO,RAMOS,93 ATLANTIC CCIR,PITTSGBURG,CALIFORNIA,94565,11510375,95
A917510,PEDRO,RAMOS,4185 ARIZONA ST,SAN DIEGO,CALIFORNIA,92104,11510375,95
A913683,PEDRO,RAOMS,2201 5TH ST,SANTA ONICA,CALIFORNIA,90405,11513075,95
A906088,P,RAMOS,93 ATLANTIC CRCL,PITTSBURG,CALIFORNIA,94565,11510375,95
A905094,PEDRO,RAMOS,41713 WOODRIDGE AVE,MURRIETA H92562,CALIFORNIA,,11510375,95
A994595,JEANNETTE,ASYALA,250 FLOR BLANCA AE,SOCORRO,TEXAS,79927,11518660,96
A957632,JEANNETTE,PEREZ,33 SAWFISH LN,KISSIMMEE,FLORIDA,34759,11518660,96
A948064,JEANNETTE,PEREZ,1990 W 56TH ST,HIALEAH,FLORIDA,33012,,96
A936225,JEANNETTE,AYALA,1630 HOVEDEN DR,KATY,TEXAS,77450,11518660,96
A931192,JEANNETTE,PEREZ,2011 SAGEBRUSH CRCL,NAPLES,FLORIDA,34120,11518606,96
A930263,,AALA,1630 HOVEDEN DR,KATY,TEXAS,77450,11518660,96
A926470,JEANNETTE,APYALA,250 FLOR BLACA AVE,SOCORRO,TEXAS,79927,11518660,96
A995616,JEROME,AYALA,163Z0 HOVEDEN DR,KATY,TEXAS,77450,,97
A955910,JEROME,AYLAA,163 HOVEDEN DR,KATY,TEXAS,77450,11522957,97
A932063,JEROME,AYALA,8800 BURNET AVE,NORTH HILLS,CALIFORNIA,91343,11522957,97
A917681,JEROME,AYALA,250 FLOR BLANCA AVE,SOCORRO,TEXAS,79927,11522957,97
A911001,JEROME,AYLAA,250 FLORB BLANCA AVE,MSOCORRO,TEXAS,79927,11522597,97
A998244,BRENDA,STAGER,3520 AARON DR,SANTA ROSA,CALIFORNIA,95404,,98
A989720,BRENDA,STAGER,7831 MELROSE ST,BUENA PARK,CALI,90621,,98
A983557,BRENAD,STAGXER,7831 MELROSE ST,BUENA PARK,CALIFORNIA,90621,11529413,98
A955188,C,STAGER,3520 AARON DVR,SANTA ROSA,CALIFORNIA,95404,11529413,98
A954418,BRENDA,USECHE-LAMARDO,1023 CARLSBAD DR,GRAND PRAIRIE,TEXAS,75051,11529413,98
A932099,BERNDA,STAGER,731 MELROSE ST,BUENA PARK,CALIBF,90621,11529143,98
A920307,BRENDA,STAGER,10A00 OARLOCK ST,CROWLEY,TEXAS,76036,11529413,98
A930456,JOSEPH,USECHE-LAMARDO,1023 CARLSBAD DR,GRAND PRAIRIE,TEXAS,75051,15139406,99
A907842,JOE,USECHE-LAMARDO,1000 OARLOCK ST,CROWLEY,TEXAS,76036,11539406,99
A980052,ANGELA,ULLAH,8282 WINDMILL FARMS DR,COTATI,CALIFORNIA,94931,11541422,100
A974646,ANGELINA,ULLAH,2557 ORANGE AVE,COSTA MESA,CALIFORNIA,92627,11541422,100
A965932,ANGIE,ULLAH,3571 NW 85TH WY,SUNRISE,FLORIDA,33351,15141422,100
A941193,ANGELICA,ULLAH,8282 WINDMILL FARMS DR,COTATI 94V931,CALIFORNIA,,11541422,100
A919856,ANGELA,ULLAH,2557 ORANGE AVENIDA APT E,COSTA MESA,CALIFORNIA,92627,11544122,100
A917446,ANGELA,ULLAH,10225 LITTLE BOGUS CREEK RD,MONTAGUE,CALI,96064,,100
A967423,MICHAEL,TORRA,4203 JORNS ST,HOUSTON,TEXAS,77045,11553482,101
A956778,E,TORRA,201 ORION RD,GEORGETON,TEXAS,78633,11553428,101
A943599,E,TORRA,201 ORION RXD,GEORGETOWN,TEXAS,78633,,101
A938921,MICAHEL,TORRA,2557 ORANGE AVE,COSTA MESA,CALIFORNIA,92627,11553428,101
A938785,MICHAEL,TORRA,403 JORNS ST,HOUSTON Z77045,TEXAS,,,101
A921846,E,TORRA,2557 ORANGE AVE,COSTA MESA F92627,CALIFORNIA,,,101
A920634,MICHALE,T,2557 ORANGE AVE,COSTA MESA,CALI,92627,11553428,101
A916985,MICHAEL,TORRA,4203 JORNS ST,HOUSTON,TEXAS,77045,11553428,101
A984866,MARIO,LOPREZ,731 E COCO PLUM CIR,PLANTATION,FLORIDA,33324,11558097,102
A983483,MARIO,LOPEZ,6837 COUNTY HIGHWAY 1087,DEFUNIAK SPRINGS 3243L3,FLORIDA,,11558097,102
A982046,MARIO,LOPEZ,6837 COUNTY HIGHWAY 1087,DEFUNIAK SPRINGS,FLORIDA,32433,11558079,102
A967437,MARIO,LOPEZ,731 E COCO PLUM CIR,PLANETATION,FLORIDA,33324,11558079,102
A944698,MARIO,LOPEZ,6837 COUNTY HIOGHWAY,DEFUNIAKN SPRINGS,FLORIDA,32433,,102
A936434,MARIO,LOPEZ,2211 DAVIS ST,TAMPAC,FLORIDA,33605,11558079,102
A922236,A,OLPEZ,2211 DAVIS ST,TAMPA,FLORIDA,33605,,102
A917621,MARIO,LOPEZ,731 E COCO PLUM UCIR,PLANTATION,Y FLA,33324,11558079,102
A994082,C,OROZCO,577 E NOVMNDY BLVD,DELTONA,FLORIDA,32725,101591372,103
A984993,ANECIA,HARDING,7M11 N US HIGHWAY 69,CELESTE,TEXAS,75423,11594858,104
A983528,ANECIA,HARDING,711 NRTH US HIGHWAY,CELESTE,TEXAS,75423,11549858,104
A934142,ANECIA,HARDING,10615 WEATHERING RUN,SAN ANTONIO,TEXAS,78254,11594885,104
A995501,NANCY,GANEY,1570 E VIA VERDE ST,COVINA,CALIFORNIA,91724,11610544,105
A932217,N,GANEY,11605 PPLAR ST,LOMA LINDA,CALIFORNIA,92354,11610544,105
A915335,NANYC,GANEY,11605 POPLAR ST,LOMA LINDA,CALIFORNIA,92354,,105
A915309,NANCY,REHDRE,12 PINE CREEK CT,PITTSBURG,CALIFORNIA,94565,11610544,105
A907116,NANCY,GANEY,13342 HIDALG ST,DESERT HOT SPRINGS,CALIFORNIA,92240,11610544,105
A921761,ANTHONY,REHDER,1570 E UVIA VERDE ST,COVINA,CALIFORNIA,91724,11628733,106
A984752,NICOLE,JOHNSON,9418 EL CAJON ST,VENTURA,CALIFORNIA,93004,,107
A969629,NICOLE,TZENOVA,9418 EL CAJN ST,VENTURA,CA93004,,11642001,107
A960621,NICOLE,JOHNSON,6654 ELMER AVEA,NORTH HOLLYWOOD,CALIFORNIA,91606,11642001,107
A946404,NOLE,JOHNSON,8455 OLD RANCH RD,ORANGEVALE,CALI 95662S,,,107
A923573,NICOLE,VTZENOVA,9418 EL CAJON ST,VENTURA,CALIFORNIA,93004,,107
A969080,LUIS,TZENOVA,1502 SUDBURY DR,PASADENA,TEXAS,77504,11654484,108
A966980,JENEIDA,BAILEY,5998 WINDBREAKER KWAY,SSACRAMENTO,CALI,95823,,109
A958246,J,GBAILEY,5998 WINDBREAKER WAY,SACRAMENTO,CALIFORNIA,95823,11661722,109
A912654,JENEIDA,BAILEY,5998 WINDBREAKR WAY,SACRAMENTO,CALIFORNIA,9523,11661722,109
A961600,MICHELLE,BOSE,1211 REAGAN DR,LAREDO,TEXAS,78046,11688665,110
A989206,JOREG,CLINTON,815 W CONCBORD ST,ORLANDO,FLORIDA,32805,11695645,111
A979565,JROGE,CLIBNTON,815 W CONCORD ST,ORLANDO,FLORIDA,32805,,111
A974704,JORGE,CLINTON,815 W CONCOR ST,ORLANDO,FLORIDA,32805,11695645,111
A969356,JORGE,CLNTON,530 PARKSIDE AVE,MERRITT ISLAND,FLORIDA,32953,11695645,111
A961135,JORGE,CLINTON,650 NE 17TH ST,NORTH MIAMI BEACAH,FLORIDA,33162,,111
